                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3441,                   1.08,                 1.7753,                0.94746,                 0.9643,                0.95779,                0.71941,                0.94409,                0.56379,                 1.3536,              0.0006733,              0.0006733,              0.0006733
                     36,                  1.338,                 1.0446,                 1.7668,                0.95684,                0.96276,                0.96128,                0.73206,                0.96091,                0.57524,                 1.3392,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.3105,                 1.0459,                 1.7441,                0.95567,                0.95492,                 0.9581,                0.70915,                  1.013,                0.58211,                 1.3889,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.3269,                  1.028,                 1.7543,                0.94854,                0.96556,                0.95319,                0.69268,                  1.006,                0.60153,                 1.4309,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.3222,                 1.0258,                 1.7517,                0.95112,                 0.9671,                0.95651,                0.71937,                0.99157,                0.57063,                 1.3986,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.3067,                 1.0169,                 1.7264,                0.94862,                0.96956,                0.96165,                 0.7182,                0.98988,                0.58615,                 1.3774,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.3026,                 1.0192,                 1.7321,                0.94291,                0.96175,                 0.9572,                0.71814,                0.98178,                   0.58,                 1.3404,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.2943,                 1.0012,                 1.7242,                0.95193,                0.96115,                0.96225,                0.71562,                0.98264,                0.55706,                 1.4056,               0.000604,               0.000604,               0.000604
                     43,                 1.2985,                 1.0047,                 1.7264,                0.94158,                 0.9539,                0.95939,                0.71861,                0.96461,                 0.5622,                 1.3776,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.2718,                0.97872,                 1.7051,                0.95575,                0.96309,                 0.9575,                0.70684,                 1.0042,                0.57111,                 1.4065,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.2696,                 0.9894,                 1.7029,                0.95338,                0.96814,                0.95921,                0.72637,                0.92135,                0.52175,                 1.3014,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.2928,                0.98077,                 1.7097,                0.96077,                0.96565,                0.95849,                 0.7299,                0.95339,                0.53193,                 1.3191,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.2755,                0.98595,                 1.7049,                0.95842,                0.96979,                0.95989,                0.71459,                 1.0075,                0.54935,                 1.4156,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.2595,                0.97508,                  1.697,                0.95792,                0.96172,                0.96338,                0.73366,                0.94971,                0.53925,                 1.3147,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.2689,                0.96772,                 1.6958,                0.94281,                0.96169,                0.96087,                0.71794,                0.97048,                0.57106,                 1.3202,              0.0005347,              0.0005347,              0.0005347
